timestamp,correlation_id,tool,tokens_in,tokens_out,latency_ms,success
2025-12-05T00:11:02.436659Z,85514369,00_INIT,0,2108,0.14,ok
2025-12-05T00:11:02.524114Z,9eac2693,list_dir,3,699,2.39,ok
2025-12-05T00:11:02.535102Z,10f886ad,read_file,6,857,0.96,ok
2025-12-05T00:11:02.544481Z,852f930c,read_file,10,38,0.8,error
2025-12-05T00:11:02.551922Z,7065dbdb,non_existent_tool,0,11,0.22,error
2025-12-05T00:11:38.666820Z,caf3215c,00_INIT,0,2108,0.16,ok
2025-12-05T00:11:38.674909Z,69d2045d,list_dir,3,699,0.9,ok
2025-12-05T00:11:38.680624Z,c78d9fd4,read_file,6,857,0.47,ok
2025-12-05T00:11:38.686294Z,5f0bf8ce,read_file,10,38,0.35,error
2025-12-05T00:11:38.690943Z,55af7462,non_existent_tool,0,11,0.09,error
2025-12-05T00:11:38.702168Z,f99ecf89,execute_code,20,86,6.15,ok
2025-12-05T00:11:53.849137Z,fd6d6187,get_metrics,0,34,0.18,ok
2025-12-05T00:11:53.921575Z,511de47d,list_dir,3,722,1.85,ok
2025-12-05T00:11:53.932553Z,852a5736,stat,6,72,1.12,ok
2025-12-05T00:11:53.942272Z,2a77a04f,read_file,6,857,0.78,ok
2025-12-05T00:12:02.113364Z,4bde3b1e,rag_search,7,108,8162.46,ok
2025-12-05T00:12:02.163703Z,9f0ba215,rag_plan,7,28,9.39,error
2025-12-05T00:12:02.217985Z,4d39cc54,linux_proc_list,4,357,45.8,ok
2025-12-05T00:12:02.229261Z,ebb94770,linux_sys_snapshot,0,159,3.46,ok
2025-12-05T00:12:02.237015Z,e1dfd081,linux_fs_mkdir,12,22,0.58,ok
2025-12-05T00:12:02.269159Z,804f252e,linux_fs_write,21,46,20.79,ok
2025-12-05T00:12:02.334647Z,8fe65f72,read_file,10,37,0.84,ok
2025-12-05T00:12:02.346602Z,e81b4673,linux_fs_delete,12,19,2.85,ok
2025-12-05T00:12:02.354556Z,39faf8e0,non_existent_tool,0,11,0.18,error
2025-12-05T00:19:38.406403Z,5c150d1d,00_INIT,0,2108,0.12,ok
2025-12-05T00:19:38.413948Z,f5192f41,list_dir,3,699,0.59,ok
2025-12-05T00:19:38.419037Z,6b99407c,read_file,6,857,0.39,ok
2025-12-05T00:19:38.423896Z,ab7defc0,read_file,10,38,0.29,error
2025-12-05T00:19:38.427395Z,d85fad94,non_existent_tool,0,11,0.06,error
2025-12-05T00:19:38.438649Z,54a459be,execute_code,20,86,7.18,ok
2025-12-05T00:19:51.469599Z,c5a3030e,00_INIT,0,2108,0.18,ok
2025-12-05T00:19:51.477208Z,d0ca35e0,list_dir,3,699,0.87,ok
2025-12-05T00:19:51.482984Z,39c8cf27,read_file,6,857,0.54,ok
2025-12-05T00:19:51.488928Z,d6c00623,read_file,10,38,0.4,error
